Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2025-01-05,2620.05,2665.35,2596.185,2638.26
2025-01-12,2640.63,2697.89,2615.265,2690.62
2025-01-19,2690.6,2724.74,2656.92,2700.865
2025-01-26,2703.33,2785.745,2689.54,2771.105
2025-02-02,2770.8,2817.17,2730.62,2801.28
2025-02-09,2801.65,2886.825,2772.47,2860.655
2025-02-16,2858.98,2942.66,2855.025,2885.16
2025-02-23,2884.98,2954.88,2878.915,2934.92
2025-03-02,2934.13,2956.18,2832.885,2854.945
2025-03-09,2855.6,2930.25,2855.6,2909.36
2025-03-16,2911.96,3004.945,2880.33,2985.045
2025-03-23,2989.135,3057.34,2982.325,3023.84
2025-03-30,3025.68,3086.81,3002.61,3085.25
2025-04-06,3088.82,3167.59,3015.985,3036.385
2025-04-13,3015.76,3245.45,2956.88,3230.98
2025-04-20,3228.38,3357.635,3193.835,3327.7
2025-04-27,3332.605,3499.955,3261.15,3304.985
2025-05-04,3325.35,3352.995,3202.78,3233.67
2025-05-11,3241.03,3437.935,3237.935,3328.945
2025-05-18,3271.86,3311.24,3121.19,3192.46
2025-05-25,3210.48,3365.91,3204.685,3360.91
2025-06-01,3355.43,3356.62,3245.72,3294.895
2025-06-08,3299.42,3402.79,3299.42,3312.435
2025-06-15,3311.845,3446.72,3293.875,3432.53
2025-06-22,3452.005,3454.04,3340.535,3365.465
2025-06-29,3396.525,3396.525,3256.535,3271.135
2025-07-06,3277.21,3365.825,3248.61,3337.345
2025-07-13,3336.21,3359.905,3282.965,3356.445
2025-07-20,3363.19,3376.785,3310.035,3348.295
2025-07-27,3349.57,3439.025,3325.555,3337.535
2025-08-03,3316.95,3361.275,3268.415,3357.095
2025-08-10,3366.445,3407.33,3345.125,3398.505
2025-08-17,3399.265,3404.625,3330.025,3339.135
2025-08-24,3337.09,3378.665,3311.625,3373.235
2025-08-31,3371.3,3453.725,3351.395,3452.355
2025-09-07,3448.08,3599.985,3437.155,3594.685
2025-09-14,3584.655,3673.825,3580.235,3644.185
2025-09-21,3645.14,3707.235,3626.815,3684.445
2025-09-28,3687.4,3790.985,3683.815,3766.715
2025-10-05,3757.415,3896.575,3757.05,3885.925
2025-10-12,3888.295,4059.075,3884.405,4010.675
2025-10-19,3994.32,4117.185,3994.32,4110.23
